subject,paper_cond,qid,judge,rubric,score,response_type,parse_failure,prior_delta
global_babur,C4a,2,gpt4o,original,1,substantive,False,-2.6
global_babur,C4a,2,gpt4o,paper,1,substantive,False,-2.6
global_babur,C4a,2,gpt54,original,1,substantive,False,-2.6
global_babur,C4a,2,gpt54,paper,1,substantive,False,-2.6
global_babur,C4a,2,haiku,original,1,substantive,False,-2.6
global_babur,C4a,2,haiku,paper,1,substantive,False,-2.6
global_babur,C4a,2,opus,original,1,substantive,False,-2.6
global_babur,C4a,2,opus,paper,2,substantive,False,-2.6
global_babur,C4a,2,sonnet,original,1,substantive,False,-2.6
global_babur,C4a,2,sonnet,paper,2,substantive,False,-2.6
global_equiano,C4a,27,gpt4o,original,2,substantive,False,-2.2
global_equiano,C4a,27,gpt4o,paper,1,substantive,False,-2.2
global_equiano,C4a,27,gpt54,original,1,substantive,False,-2.2
global_equiano,C4a,27,gpt54,paper,1,substantive,False,-2.2
global_equiano,C4a,27,haiku,original,1,substantive,False,-2.2
global_equiano,C4a,27,haiku,paper,1,substantive,False,-2.2
global_equiano,C4a,27,opus,original,1,substantive,False,-2.2
global_equiano,C4a,27,opus,paper,1,substantive,False,-2.2
global_equiano,C4a,27,sonnet,original,1,substantive,False,-2.2
global_equiano,C4a,27,sonnet,paper,1,substantive,False,-2.2
global_equiano,C5_baseline,13,gpt4o,original,2,refusal,False,-3.2
global_equiano,C5_baseline,13,gpt4o,paper,1,refusal,False,-3.2
global_equiano,C5_baseline,13,gpt54,original,1,refusal,False,-3.2
global_equiano,C5_baseline,13,gpt54,paper,1,refusal,False,-3.2
global_equiano,C5_baseline,13,haiku,original,1,refusal,False,-3.2
global_equiano,C5_baseline,13,haiku,paper,1,refusal,False,-3.2
global_equiano,C5_baseline,13,opus,original,1,refusal,False,-3.2
global_equiano,C5_baseline,13,opus,paper,1,refusal,False,-3.2
global_equiano,C5_baseline,13,sonnet,original,1,refusal,False,-3.2
global_equiano,C5_baseline,13,sonnet,paper,1,refusal,False,-3.2
global_yung_wing,C2a,2,gpt4o,original,2,substantive,False,1.2
global_yung_wing,C2a,2,gpt4o,paper,3,substantive,False,1.2
global_yung_wing,C2a,2,gpt54,original,2,substantive,False,1.2
global_yung_wing,C2a,2,gpt54,paper,3,substantive,False,1.2
global_yung_wing,C2a,2,haiku,original,2,substantive,False,1.2
global_yung_wing,C2a,2,haiku,paper,2,substantive,False,1.2
global_yung_wing,C2a,2,opus,original,3,substantive,False,1.2
global_yung_wing,C2a,2,opus,paper,3,substantive,False,1.2
global_yung_wing,C2a,2,sonnet,original,2,substantive,False,1.2
global_yung_wing,C2a,2,sonnet,paper,2,substantive,False,1.2
global_yung_wing,C8,14,gpt4o,original,2,substantive,False,-0.6
global_yung_wing,C8,14,gpt4o,paper,2,substantive,False,-0.6
global_yung_wing,C8,14,gpt54,original,2,substantive,False,-0.6
global_yung_wing,C8,14,gpt54,paper,2,substantive,False,-0.6
global_yung_wing,C8,14,haiku,original,2,substantive,False,-0.6
global_yung_wing,C8,14,haiku,paper,1,substantive,False,-0.6
global_yung_wing,C8,14,opus,original,3,substantive,False,-0.6
global_yung_wing,C8,14,opus,paper,3,substantive,False,-0.6
global_yung_wing,C8,14,sonnet,original,3,substantive,False,-0.6
global_yung_wing,C8,14,sonnet,paper,3,substantive,False,-0.6
